run_id,R² Val,R² Test,units,depth,shrink_factor,lr,l2,dropout,batch_size,epochs
161,0.6716272207016043,0.6551416479140124,128,3,1.0,0.0006060750820142467,2.6975745395137173e-05,0.26712466697885223,16,147
162,0.607706836511476,0.5834539287740057,64,2,1.5,0.004047657586149413,4.3518219774426453e-05,0.15958584272682413,32,135
163,0.6176716106644142,0.5972728381618404,256,4,2.0,0.00029878754091661967,2.2719370745435732e-05,0.22935283158222938,16,252
164,0.666601563509682,0.6488575805739472,128,2,1.5,0.00032705136713064346,0.0001233209476251513,0.24263150476810197,16,231
165,0.49548134777095343,0.47481381625061214,64,3,1.5,0.0050411290458606825,0.0002193414151377442,0.21205677261686734,16,237
166,0.6429650709676467,0.6189540843094448,128,4,1.0,0.00018024149296483766,0.00012650607183384562,0.11495887326865638,32,277
167,0.6696168774366974,0.6500578151641873,256,3,1.0,0.0007445544785886848,9.129299664493666e-05,0.17200091586184058,32,223
168,0.6390695546823957,0.6151997963032244,128,2,1.0,0.0013476160705670744,3.425214537449728e-05,0.21873932158609055,32,156
169,0.5503066946663389,0.5184433299430911,64,4,2.0,0.005005928032869437,0.00011229392591625704,0.29085219048900957,16,147
170,0.605796131091122,0.5820602546077424,64,2,1.5,0.0002652758080105581,0.0003438557886690746,0.2089438001061531,16,142
171,0.6473126926640348,0.6292782275864088,128,2,2.0,0.00010528051860528538,1.2919877342561298e-05,0.2601786312148375,32,168
172,0.6710499497280829,0.6506619987579367,128,2,1.5,0.00010172592708517766,0.0009899534560537083,0.1700188708608889,32,253
173,0.6107976533707575,0.5932027686696115,256,4,2.0,0.0008520612025104192,5.891838266612986e-05,0.2442836691926637,32,262
174,0.6520033902100852,0.6326815539342305,256,4,2.0,0.0028008372625310425,0.0005641063225311652,0.1517744427448356,16,256
175,0.657257871325985,0.6423956774488344,256,4,1.5,0.0018180110788211144,0.0006161411159109093,0.24656177451802172,32,181
176,0.514006377611111,0.4832396944918256,64,4,1.5,0.007223207035530416,0.0002186003055578674,0.22355895387718738,32,285
177,0.6086176739546778,0.5889468667679765,64,2,1.0,0.0005004578005290176,0.00010651443248889102,0.2716704386671697,16,178
178,0.4703809914535385,0.4402501359527693,128,3,1.0,0.007872418069203111,3.171153696770135e-05,0.247336302382063,32,146
179,0.6475625189635055,0.6298361475753829,256,3,1.0,0.003459887373359867,1.3110322455021553e-05,0.1320776370942381,16,109
180,0.5928537378525987,0.5719195366512877,128,4,2.0,0.00048463911240693785,6.782152039951999e-05,0.24516180219056896,16,204
181,0.5298284449174473,0.5083114781502844,64,4,1.0,0.00032339419857612024,0.0006939893728134414,0.2533426929214275,16,255
182,0.6292395697305311,0.6051035367230804,64,2,2.0,0.00125098166148766,0.000470332910292728,0.17427876793043662,32,147
183,0.5353449645407525,0.5142632017419401,64,4,2.0,0.002541035286669981,1.4707079722961842e-05,0.11280831877556084,32,115
184,0.6277197622914901,0.608593150435266,64,3,1.0,0.0011264695003702792,0.0002788222355319465,0.12547328014252998,32,266
185,0.4677991468011359,0.4428579002971431,64,4,2.0,0.0001901605552619863,0.0005735552116332718,0.1411537439458153,32,191
186,0.6331568722024894,0.6152131370997282,128,3,1.5,0.0003428289903295038,0.0007145098241159689,0.2418552899703609,32,195
187,0.6665861385562104,0.6447548662359925,64,2,2.0,0.0006393773031070296,8.19896447019148e-05,0.18422972332317583,16,223
188,0.6146407585598079,0.5901512909374103,64,4,1.0,0.0008045400579830509,0.00020300866712576443,0.1329764154254705,16,105
189,0.6130310044390042,0.5939615893395853,128,3,1.0,0.0022974061599691717,0.00032299948202826325,0.26034963009482004,16,250
190,0.602440641132714,0.583314746353911,128,2,2.0,0.004892394381334057,1.4304933346762286e-05,0.28535473288168556,16,234
191,0.6083889654223851,0.5878618009393994,64,4,1.0,0.001215088115454158,0.00034880794694959716,0.20724507344227683,32,141
192,0.6239191421429916,0.6065936171579094,128,4,2.0,0.0007331316153880345,0.0007865591673181674,0.20576276453435427,16,278
193,0.5971935765883597,0.5857344113558869,256,4,1.5,0.00462679328760034,0.0009174561104913461,0.29217445974077566,16,211
194,0.6411941550081348,0.625112727379092,128,2,2.0,0.0020668657752708785,6.499367270062028e-05,0.13634549729654752,32,171
195,0.6611324989669695,0.6400915841927689,128,3,1.5,0.0003348329816732446,4.319143119884909e-05,0.13918475257667126,32,261
196,0.5827956489697186,0.5547813320404316,64,3,2.0,0.001496230937796291,9.064676809810523e-05,0.25405967887453595,32,100
197,0.6451144454955113,0.6272628905880134,256,4,2.0,0.003059516649043483,5.32000747352623e-05,0.24329482944280326,32,156
198,0.637484561530248,0.6309376787246106,256,3,1.0,0.0011115982065575587,0.0005004547549806197,0.25467433837773934,16,189
